"Date","Treatment","Replicate","Crop","Yield_bu_A","Yield_kg_ha","Year"
"2017-10-19","T1","R5","Zea mays L. (*)",128.9,8089.4,2017
"2017-10-19","T4","R6","Zea mays L. (*)",25.7,1609.5,2017
"2017-10-19","T4","R5","Zea mays L. (*)",39.6,2482.9,2017
"2017-10-19","T4","R4","Zea mays L. (*)",43.3,2718.7,2017
"2017-10-19","T4","R3","Zea mays L. (*)",49.4,3101.2,2017
"2017-10-19","T4","R2","Zea mays L. (*)",48.9,3069.6,2017
"2017-10-19","T4","R1","Zea mays L. (*)",43.4,2722.2,2017
"2017-10-19","T3","R6","Zea mays L. (*)",116.8,7327,2017
"2017-10-19","T3","R5","Zea mays L. (*)",137.2,8610.3,2017
"2017-10-19","T2","R6","Zea mays L. (*)",140.2,8795.1,2017
"2017-10-19","T2","R5","Zea mays L. (*)",173,10851.3,2017
"2017-10-19","T1","R6","Zea mays L. (*)",124.1,7789,2017
"2017-10-18","T1","R2","Zea mays L. (*)",135.7,8513.9,2017
"2017-10-18","T3","R4","Zea mays L. (*)",128.9,8089.2,2017
"2017-10-18","T3","R3","Zea mays L. (*)",108.8,6829.1,2017
"2017-10-18","T3","R2","Zea mays L. (*)",134,8405.6,2017
"2017-10-18","T3","R1","Zea mays L. (*)",109.8,6891.6,2017
"2017-10-18","T2","R4","Zea mays L. (*)",169,10600.4,2017
"2017-10-18","T2","R3","Zea mays L. (*)",164.8,10341.2,2017
"2017-10-18","T2","R2","Zea mays L. (*)",165.7,10394.3,2017
"2017-10-18","T2","R1","Zea mays L. (*)",136.7,8578.7,2017
"2017-10-18","T1","R4","Zea mays L. (*)",129.3,8110.2,2017
"2017-10-18","T1","R3","Zea mays L. (*)",131.1,8225.5,2017
"2017-10-18","T1","R1","Zea mays L. (*)",112.4,7050.2,2017
"2016-07-19","T3","R5","Triticum aestivum L. (*)",74.3,4993.2,2016
"2016-07-19","T3","R4","Triticum aestivum L. (*)",78.2,5257.6,2016
"2016-07-15","T4","R2","Triticum aestivum L. (*)",39.4,2651.7,2016
"2016-07-15","T4","R5","Triticum aestivum L. (*)",45.8,3075.4,2016
"2016-07-15","T4","R4","Triticum aestivum L. (*)",40.1,2697,2016
"2016-07-15","T4","R3","Triticum aestivum L. (*)",40.7,2735.6,2016
"2016-07-15","T3","R3","Triticum aestivum L. (*)",77.9,5236,2016
"2016-07-14","T3","R1","Triticum aestivum L. (*)",72,4837.8,2016
"2016-07-14","T4","R6","Triticum aestivum L. (*)",33,2216.4,2016
"2016-07-14","T4","R1","Triticum aestivum L. (*)",41.5,2789.6,2016
"2016-07-14","T3","R6","Triticum aestivum L. (*)",73.6,4949.4,2016
"2016-07-14","T3","R2","Triticum aestivum L. (*)",82.5,5546.1,2016
"2016-07-14","T2","R6","Triticum aestivum L. (*)",87.3,5869.4,2016
"2016-07-12","T1","R1","Triticum aestivum L. (*)",82.2,5528.7,2016
"2016-07-12","T2","R5","Triticum aestivum L. (*)",85.9,5774,2016
"2016-07-12","T2","R4","Triticum aestivum L. (*)",88.9,5973.7,2016
"2016-07-12","T2","R3","Triticum aestivum L. (*)",91.7,6165.1,2016
"2016-07-12","T2","R2","Triticum aestivum L. (*)",84.3,5669.8,2016
"2016-07-12","T2","R1","Triticum aestivum L. (*)",87.3,5866.9,2016
"2016-07-12","T1","R6","Triticum aestivum L. (*)",88.2,5931.4,2016
"2016-07-12","T1","R5","Triticum aestivum L. (*)",81.8,5502,2016
"2016-07-12","T1","R4","Triticum aestivum L. (*)",84.3,5667.8,2016
"2016-07-12","T1","R3","Triticum aestivum L. (*)",89.9,6042.3,2016
"2016-07-12","T1","R2","Triticum aestivum L. (*)",91,6118.4,2016
"2015-10-20","T4","R6","Glycine max L. (*)",28.1,1895.6,2015
"2015-10-20","T4","R5","Glycine max L. (*)",36.9,2488.2,2015
"2015-10-20","T4","R4","Glycine max L. (*)",41.3,2780.8,2015
"2015-10-20","T4","R3","Glycine max L. (*)",42.5,2863.5,2015
"2015-10-20","T4","R2","Glycine max L. (*)",34.5,2325,2015
"2015-10-20","T4","R1","Glycine max L. (*)",42,2828.2,2015
"2015-10-02","T3","R3","Glycine max L. (*)",57.1,3844.2,2015
