"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2010","1,269.13","1,342.88","1,348","1,268.88","-","-5.26%"
"Nov 15, 2010","1,288.25","1,266.75","1,307.13","1,252.5","-","1.51%"
"Nov 16, 2010","1,220.63","1,285.25","1,289.63","1,216.38","-","-5.25%"
"Nov 17, 2010","1,204.75","1,221.5","1,232.25","1,175.38","-","-1.30%"
"Nov 18, 2010","1,242.63","1,209.88","1,245.25","1,194.13","-","3.14%"
"Nov 19, 2010","1,201.13","1,244.63","1,255.88","1,200.88","-","-3.34%"
"Nov 22, 2010","1,221.13","1,196.63","1,222.88","1,190.63","-","1.67%"
"Nov 23, 2010","1,238.13","1,225.38","1,246","1,201.63","-","1.39%"
"Nov 24, 2010","1,254.38","1,241.38","1,258.13","1,237.13","-","1.31%"
"Nov 26, 2010","1,239.38","1,256.63","1,262.13","1,235.88","-","-1.20%"
"Nov 29, 2010","1,235.88","1,239.88","1,248.25","1,226.63","-","-0.28%"
"Nov 30, 2010","1,245.88","1,238.75","1,247.13","1,227.88","-","0.81%"
"Dec 01, 2010","1,281.88","1,243.38","1,283.88","1,240.38","-","2.89%"
"Dec 02, 2010","1,278.63","1,281.88","1,286.75","1,273.88","-","-0.25%"
"Dec 03, 2010","1,300.88","1,282.75","1,301.38","1,280.25","-","1.74%"
"Dec 06, 2010","1,286.25","1,303.63","1,306.63","1,280.38","-","-1.12%"
"Dec 07, 2010","1,286.25","1,288.75","1,303.13","1,282.38","-","0.00%"
"Dec 08, 2010","1,293.63","1,282.88","1,296.63","1,266.63","-","0.57%"
"Dec 09, 2010","1,280.63","1,295.75","1,298.88","1,278.63","-","-1.00%"
"Dec 10, 2010","1,272.63","1,283.38","1,288.38","1,268.63","-","-0.62%"
"Dec 12, 2010","1,272.38","1,272.38","1,272.38","1,272.38","-","-0.02%"
"Dec 13, 2010","1,300.38","1,269.25","1,304.63","1,259.63","-","2.20%"
"Dec 14, 2010","1,294.5","1,299.5","1,311.13","1,292.63","-","-0.45%"
"Dec 15, 2010","1,306.63","1,294.13","1,314.38","1,291.13","-","0.94%"
"Dec 16, 2010","1,301.13","1,305.5","1,314.75","1,296.13","-","-0.42%"
"Dec 17, 2010","1,309.13","1,300.75","1,311.38","1,295.25","-","0.61%"
"Dec 20, 2010","1,327.38","1,324.5","1,329.5","1,307.63","-","1.39%"
"Dec 21, 2010","1,337.13","1,326.75","1,339.25","1,323.13","-","0.73%"
"Dec 22, 2010","1,339.13","1,336.38","1,343.63","1,328.75","-","0.15%"
"Dec 23, 2010","1,360.63","1,340.63","1,365.63","1,338.88","-","1.61%"
"Dec 24, 2010","1,361.5","1,361.5","1,361.5","1,361.5","-","0.06%"
"Dec 27, 2010","1,384.5","1,353.63","1,389.38","1,350.25","-","1.69%"
"Dec 28, 2010","1,385.88","1,385.13","1,396.63","1,383.38","-","0.10%"
"Dec 29, 2010","1,376.88","1,386.13","1,388.88","1,374.88","-","-0.65%"
"Dec 30, 2010","1,379.88","1,375.38","1,384.63","1,370.13","-","0.22%"
"Dec 31, 2010","1,403.88","1,377.38","1,403.88","1,376.38","-","1.74%"
"Jan 03, 2011","1,380.38","1,395.75","1,408.63","1,380.38","-","-1.67%"
"Jan 04, 2011","1,371.63","1,378.63","1,390.38","1,357.75","-","-0.63%"
"Jan 05, 2011","1,391.38","1,372.63","1,394.88","1,362.13","-","1.44%"
"Jan 06, 2011","1,376.38","1,392.38","1,398.63","1,376.38","-","-1.08%"
"Jan 07, 2011","1,363.88","1,376.88","1,382.25","1,360.38","-","-0.91%"
"Jan 10, 2011","1,381.38","1,368.63","1,394.38","1,366.25","-","1.28%"
"Jan 11, 2011","1,358.38","1,382.13","1,388.13","1,355.88","-","-1.67%"
"Jan 12, 2011","1,417.13","1,359.63","1,426.88","1,359.13","-","4.33%"
"Jan 13, 2011","1,421.13","1,418.75","1,432.38","1,413","-","0.28%"
"Jan 14, 2011","1,423.88","1,418.75","1,423.88","1,405.38","-","0.19%"
"Jan 17, 2011","1,423","1,423","1,423","1,423","-","-0.06%"
"Jan 18, 2011","1,415.13","1,412.5","1,429.88","1,408.5","-","-0.55%"
"Jan 19, 2011","1,415.13","1,417.38","1,431.63","1,402.38","-","0.00%"
"Jan 20, 2011","1,413.13","1,413.75","1,420.88","1,384","-","-0.14%"
"Jan 21, 2011","1,411.13","1,415.88","1,426.63","1,405.38","-","-0.14%"
"Jan 23, 2011","1,412.63","1,412.63","1,412.63","1,412.63","-","0.11%"
"Jan 24, 2011","1,403.13","1,411.5","1,426.38","1,396.88","-","-0.67%"
"Jan 25, 2011","1,372.88","1,404","1,407.88","1,370.38","-","-2.16%"
"Jan 26, 2011","1,385.88","1,375.63","1,390.88","1,364.38","-","0.95%"
"Jan 27, 2011","1,399.88","1,389.63","1,399.88","1,378.13","-","1.01%"
"Jan 28, 2011","1,399.88","1,401.75","1,423.13","1,392.75","-","0.00%"
"Jan 31, 2011","1,410.88","1,395.75","1,413.13","1,394.88","-","0.79%"
"Feb 01, 2011","1,440.25","1,413.5","1,440.25","1,408.38","-","2.08%"
"Feb 02, 2011","1,444.88","1,439.63","1,451.63","1,433.63","-","0.32%"
"Feb 03, 2011","1,434.13","1,445.13","1,452.38","1,434.13","-","-0.74%"
"Feb 04, 2011","1,433.88","1,437.63","1,442.63","1,422.38","-","-0.02%"
"Feb 07, 2011","1,423.63","1,437.38","1,443.63","1,421.38","-","-0.71%"
"Feb 08, 2011","1,435.38","1,425.88","1,435.38","1,414.25","-","0.83%"
"Feb 09, 2011","1,451.25","1,438.5","1,455.75","1,435.13","-","1.11%"
"Feb 10, 2011","1,430.38","1,451.5","1,454.88","1,430.38","-","-1.44%"
"Feb 11, 2011","1,414.88","1,432.38","1,442.13","1,410.38","-","-1.08%"
"Feb 14, 2011","1,404.88","1,419.13","1,424.63","1,400.25","-","-0.71%"
"Feb 15, 2011","1,368.63","1,403.63","1,409.13","1,366.13","-","-2.58%"
"Feb 16, 2011","1,365.13","1,369.25","1,375.88","1,357.13","-","-0.26%"
"Feb 17, 2011","1,416.75","1,378.75","1,418.75","1,378.75","-","3.78%"
"Feb 18, 2011","1,376","1,417.88","1,421.5","1,373.38","-","-2.88%"
"Feb 22, 2011","1,310.88","1,390.75","1,397.5","1,310.5","-","-4.73%"
"Feb 23, 2011","1,333.13","1,309.88","1,333.13","1,296.25","-","1.70%"
"Feb 24, 2011","1,328.63","1,332.63","1,336.5","1,310.5","-","-0.34%"
"Feb 25, 2011","1,372.38","1,328.88","1,391.38","1,322.5","-","3.29%"
"Feb 28, 2011","1,365.88","1,378.25","1,380.13","1,358","-","-0.47%"
"Mar 01, 2011","1,373.38","1,368.25","1,376.13","1,354","-","0.55%"
"Mar 02, 2011","1,393.13","1,374.13","1,398.88","1,372.13","-","1.44%"
"Mar 03, 2011","1,409","1,390.5","1,414.25","1,384.63","-","1.14%"
"Mar 04, 2011","1,414.63","1,410.38","1,423.63","1,396.38","-","0.40%"
"Mar 07, 2011","1,394.38","1,412.25","1,418.88","1,384.63","-","-1.43%"
"Mar 08, 2011","1,381.38","1,395.5","1,395.5","1,374.13","-","-0.93%"
"Mar 09, 2011","1,349.13","1,381.88","1,383.38","1,347.63","-","-2.33%"
"Mar 10, 2011","1,353.38","1,350.63","1,368.63","1,322.13","-","0.32%"
"Mar 11, 2011","1,335.38","1,353.38","1,359.25","1,305.13","-","-1.33%"
"Mar 13, 2011","1,329.25","1,335.88","1,340.13","1,326.63","-","-0.46%"
"Mar 14, 2011","1,340.75","1,329.38","1,346","1,317.88","-","0.87%"
"Mar 15, 2011","1,280.13","1,340.88","1,343.38","1,269","-","-4.52%"
"Mar 16, 2011","1,293.63","1,282.13","1,307.88","1,277.25","-","1.05%"
"Mar 17, 2011","1,338.5","1,293.38","1,346.63","1,290.38","-","3.47%"
"Mar 18, 2011","1,362.5","1,338.38","1,384.5","1,322.88","-","1.79%"
"Mar 20, 2011","1,371.25","1,370","1,376.63","1,365.25","-","0.64%"
"Mar 21, 2011","1,359.75","1,371.38","1,373.5","1,351.63","-","-0.84%"
"Mar 22, 2011","1,363.63","1,359.13","1,368.75","1,344.63","-","0.28%"
